latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.07135,78.89009,331.07,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,297.47,2.19,D,0
29.08999,78.01102,333.0,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,299.95,2.23,D,0
29.19279,79.53947,333.46,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,302.12,5.83,D,0
29.20957,78.46986,331.49,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,299.26,1.7,D,0
29.25797,76.93531,329.78,0.41,0.37,2025-02-23,750,N,VIIRS,n,2,297.89,1.78,D,0
29.28626,78.56826,334.62,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,303.12,5.56,D,0
29.3092,77.71088,329.9,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,300.09,0.95,D,0
29.44019,78.31748,328.22,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,298.23,1.9,D,0
29.51139,77.30083,329.26,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,298.0,2.08,D,0
29.5237,77.58796,329.02,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,296.53,1.52,D,0
29.52902,78.0206,334.35,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,299.12,2.06,D,0
29.52915,78.80456,337.46,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,307.3,40.74,D,0
29.53245,78.80389,338.91,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,296.26,12.46,D,0
29.53932,77.47169,328.87,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,296.55,1.76,D,0
29.55081,77.94192,332.26,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,298.97,2.95,D,0
29.56624,76.91371,331.2,0.41,0.37,2025-02-23,750,N,VIIRS,n,2,297.31,5.9,D,0
29.58647,78.04264,333.63,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,302.28,2.86,D,0
29.64031,77.25653,335.07,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,298.4,7.92,D,0
29.67366,77.37607,331.97,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,296.67,3.94,D,0
29.70975,77.94304,332.95,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,301.19,3.77,D,0
29.77957,77.59283,326.88,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,298.9,1.19,D,0
29.7829,77.59212,334.39,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,297.87,3.26,D,0
29.83991,79.24891,328.66,0.39,0.36,2025-02-23,750,N,VIIRS,l,2,300.18,2.5,D,0
29.85145,78.30446,332.04,0.39,0.36,2025-02-23,750,N,VIIRS,l,2,306.76,2.47,D,0
29.85431,77.19431,328.0,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,297.24,2.04,D,0
29.85497,78.28325,333.31,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,298.68,3.55,D,0
29.87243,78.11135,327.82,0.39,0.36,2025-02-23,750,N,VIIRS,l,2,300.12,8.88,D,0
29.91069,77.8851,331.27,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,297.85,2.4,D,0
29.94614,77.06928,331.09,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,296.98,2.69,D,0
29.94735,76.05905,325.45,0.43,0.38,2025-02-23,750,N,VIIRS,l,2,300.26,2.11,D,0
29.94933,77.04337,325.1,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,296.43,2.17,D,0
29.98821,76.52407,330.04,0.41,0.37,2025-02-23,750,N,VIIRS,n,2,301.05,3.08,D,0
